ID,Type,SKU,title,Published,Is featured?,Visibility in catalog,description,Description ,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,"price
",discountPrice,categoryName,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _deal_sales_counts,Meta: _deal_quantity,Meta: _last_editor_used_jetpack,Meta: video_position,Meta: custom_unit_price,Meta: custom_badges_text,Meta: _is_new,Meta: fm_pbt_product_ids,Meta: _wp_page_template,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _product_video_gallery,Meta: _product_video_code,Meta: _product_video_autoplay,Meta: _et_quantity_type,Meta: _et_quantity_ranges,Meta: _sale_price_time_start,Meta: _sale_price_time_end,Meta: _et_gtin,Meta: _et_primary_category,Meta: _et_sale_counter,Meta: _et_single_layout,Meta: _et_additional_block,Meta: _et_product_slider,Meta: _et_single_thumbnail_hover,Meta: _et_product_view_hover,Meta: _et_product_view_color,Meta: _et_product_video_thumbnail,Meta: _yoast_wpseo_primary_brand,Meta: _yoast_wpseo_primary_product_cat,Meta: _elementor_edit_mode,Meta: _elementor_template_type,Meta: _elementor_version,Meta: _mstore_video_url,Meta: _mstore_video_title,Meta: _mstore_video_description,Meta: _yoast_wpseo_content_score
2189,simple,F001,TATA TEA PREMIUM-500 GM,1,1,visible,DESH KI CHAI,,,,taxable,,1,,,0,0,,,,,1,,270,280, TEA,,,https://kfs24x7.com/wp-content/uploads/Tata-Premium-1.jpg,,,,,,,,,0,0,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,simple,F002,TATA TEA PREMIUM - 250GM,1,1,visible,DESH KI CHAI (100 GM PACK OF BRITANIA GOOD DAY BISCUITS FREE),,,,taxable,,1,,,0,0,,,,,1,,135,140, TEA,,,https://kfs24x7.com/wp-content/uploads/F002.jpg,,,,,,,,,0,0,,,,,,,,,Size,"250G, 100G",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,simple,F003,TATA TEA GOLD-500 GM,1,0,visible,RICH TASTE IRRESISTIBLE AROMA,,,,taxable,,1,,,0,0,,,,,0,,340,360, TEA,,,https://kfs24x7.com/wp-content/uploads/F003.jpg,,,F001,,,,,,1,0,,,,,,,,default,Size,250G,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,simple,F004,BROOKE BOND RED LABEL- 500 GM,1,0,visible,Taste of Togetherness,,,,taxable,,1,,,0,0,,,,,0,,,255, TEA,,,https://kfs24x7.com/wp-content/uploads/F004.jpg,,,F001,,,,,,2,0,,,,,,,,,Size,100G,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,simple,F005,BROOKE BOND RED LABEL- 250 GM,1,0,visible,Taste of Togetherness,,,,taxable,,1,,,0,0,,,,,1,,,120, TEA,,,https://kfs24x7.com/wp-content/uploads/F005.jpg,,,,,,,,,0,0,,,,,,,,,Size,"250G, 500G, 1KG",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,simple,F007,BROOKE BOND RED LABEL TEA-1 KG,1,0,visible,HONEY LEMON,,,,taxable,,1,,,0,0,,,,,0,,455,510, TEA,,,https://kfs24x7.com/wp-content/uploads/34142.jpg,,,,,,,,,2,0,,,,,,,,,Size,500G,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,simple,F008,LIPTON GREEN TEA-25 BAGS,1,0,visible,HONEY LEMON,,,,taxable,,1,,,0,0,,,,,0,,158.4,165, TEA,,,https://kfs24x7.com/wp-content/uploads/F008-1.jpg,,,,,,,,,3,0,,,,,,,,,Size,1KG,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,simple,F009,LIPTON GREEN TEA-25 BAGS,1,0,visible,TULSI NATURA,,,,taxable,,1,,,0,0,,,,,0,,158.4,165, TEA,,,https://kfs24x7.com/wp-content/uploads/F009-2.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,simple,F010,LIPTON GREEN TEA-250GM,1,0,visible,PURE & LIGHT,,,,taxable,,1,,,0,0,,,,,0,,297.6,310, TEA,,,https://kfs24x7.com/wp-content/uploads/F010.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,simple,F011,ORGANIC INDIA GREEN TEA-25 BAGS,1,0,visible,TULSI ORIGINAL-STRESS RELIEVING & BOOST IMMUNITY,,,,taxable,,1,,,0,0,,,,,0,,143.56,148, TEA,,,https://kfs24x7.com/wp-content/uploads/F011-1.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,simple,F012,ORGANIC INDIA GREEN TEA-25 BAGS,1,0,visible,TULSI GREEN TEA CLASSIC-STRESS RELIEVING & REFRESHING,,,,taxable,,1,,,0,0,,,,,0,,168.78,174, TEA,,,https://kfs24x7.com/wp-content/uploads/F012.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,simple,F013,NESCAFE CLASSIC- 50GM,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,225,232, COFFEE & CHOCOLATE POWDER,,,https://kfs24x7.com/wp-content/uploads/F014.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,simple,F014,NESCAFE CLASSIC- 100GM,1,0,visible,"FREE FRAPPY COFEE MUG",,,,taxable,,0,0,,0,0,,,,,0,,286.15,295, COFFEE & CHOCOLATE POWDER,,,https://kfs24x7.com/wp-content/uploads/F013.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,simple,F015,BOURN VITA-1KG,1,0,visible,"""TANN KI SHAKTI MANN KI SHAKTI""",,,,shipping,,1,,,0,0,,,,,0,,432,470, HEALTH DRINK,,,https://kfs24x7.com/wp-content/uploads/f017.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,simple,F016,COMPLAN-500GM,1,0,visible,ROYAL CHOCLATE FLAVOUR,,,,taxable,,1,6,,0,0,,,,,0,,284.05,299, HEALTH DRINK,,,https://kfs24x7.com/wp-content/uploads/F016-1.jpg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,simple,F018,LOOSE BROWN CHANA-1 KG,1,0,visible,IN PACKET,LOOSE BROWN CHANA-500 GM?2=1 KG,,,taxable,,1,,,0,0,,,,,0,,,80, DALS & PULSES,,,https://kfs24x7.com/wp-content/uploads/F018.jpeg,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,simple,F019,BRITANNIA TREAT JIMJAM-150 GM,1,0,visible,NAUGHTY JAM,,,,taxable,,1,,,0,0,,,,,0,,34,35, BISCUITS & CAKES,,,https://kfs24x7.com/wp-content/uploads/F019-1.jpg,,,,,,,,,0,0,,classic-editor,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
